stt,sku,proName,brandName,category,cat_parent,cat_child,script,,,
27,HV-H619,Tai nghe Bluetooth chụp tai Havit H619BT,HAVIT,Tai nghe chụp tai,Tai nghe,Chụp tai,"Tai nghe chụp tai Havit H619BT - Trải nghiệm âm thanh vượt trội
Tai nghe Havit H619BT mang lại âm thanh sắc nét, thiết kế hiện đại, đáp ứng nhu cầu giải trí và làm việc hiệu quả. Sản phẩm nổi bật với công nghệ tiên tiến, phù hợp cho người dùng yêu thích âm nhạc chất lượng cao, cần thiết bị bền bỉ và tiện lợi khi di chuyển.

Âm thanh sắc nét với công nghệ tiên tiến
Tai nghe chụp tai Havit H619BT được trang bị màng loa 40mm, mang đến âm thanh chi tiết và sống động. Dải tần 20Hz-20KHz tạo âm trầm sâu, âm trung mượt mà và âm cao rõ ràng, phù hợp với nhiều thể loại nhạc từ pop, rock đến cổ điển. Sản phẩm đáp ứng kỳ vọng của người dùng yêu cầu chất lượng âm thanh cao cấp, mang lại trải nghiệm nghe nhạc tuyệt vời.
Công nghệ khử tiếng ồn môi trường (ENC) đảm bảo âm thanh trong trẻo, hỗ trợ giảm thiểu hiệu quả các tạp âm từ môi trường xung quanh. Công nghệ này mang lại không gian chỉ tập trung vào âm nhạc, giúp người dùng đắm chìm trong từng giai điệu. Mẫu tai nghe Havit này lý tưởng cho việc thưởng thức podcast, xem phim hoặc các buổi hòa nhạc trực tuyến.

Thiết kế tinh tế, màu sắc thời thượng
Với trọng lượng chỉ 190g, tai nghe chụp tai Havit H619BT mang lại cảm giác thoải mái khi đeo trong một thời gian dài. Màu đen bóng bẩy tạo vẻ ngoài sang trọng, dễ dàng phối hợp với mọi phong cách. Chất liệu cao cấp đảm bảo độ bền lâu dài, giữ được thẩm mỹ qua thời gian sử dụng, phù hợp với người dùng chú trọng cả chức năng và kiểu dáng.",27,,
28,HV-H02E,Tai nghe có dây Gaming Havit H2002E,HAVIT,Tai nghe chụp tai,Tai nghe,Chụp tai,,,,
29,Thương,,,,Tai nghe,Nhét tai,,,,
30,Thương,,,,Tai nghe,Nhét tai,,,,
31,Thương,,,,Tai nghe,Nhét tai,,,,
32,Thương,,,,Tai nghe,Nhét tai,,,,
33,Thương,,,,Tai nghe,Nhét tai,,,,
34,Thương,,,,Tai nghe,Nhét tai,,,,
35,Thương,,,,Tai nghe,Nhét tai,,,,
36,Thương,,,,Tai nghe,Nhét tai,,,,
37,Thương,,,,Tai nghe,Nhét tai,,,,
38,Thương,,,,Tai nghe,Nhét tai,,,,
39,Thương,,,,Tai nghe,Nhét tai,,,,
40,Thương,,,,Tai nghe,Nhét tai,,,,
41,Thương,,,,Tai nghe,Nhét tai,,,,
42,Thương,,,,Tai nghe,Nhét tai,,,,
43,Thương,,,,Tai nghe,Nhét tai,,,,
44,Thương,,,,Tai nghe,Nhét tai,,,,
45,Thương,,,,Tai nghe,Nhét tai,,,,
46,Thương,,,,Tai nghe,Nhét tai,,,,
47,Thương,,,,Tai nghe,Nhét tai,,,,
48,Thương,,,,Tai nghe,Nhét tai,,,,
49,Thương,,,,Tai nghe,Nhét tai,,,,
50,Thương,,,,Tai nghe,Nhét tai,,,,
51,Thương,,,,Tai nghe,Nhét tai,,,,
52,Thương,,,,Tai nghe,Nhét tai,,,,
53,Thương,,,,Tai nghe,Nhét tai,,,,
54,Thương,,,,Tai nghe,Nhét tai,,,,
55,Thương,,,,Tai nghe,Nhét tai,,,,
56,Thương,,,,Tai nghe,Nhét tai,,,,
57,Thương,,,,Tai nghe,Nhét tai,,,,
58,Thương,,,,Tai nghe,Nhét tai,,,,
59,Thương,,,,Tai nghe,Nhét tai,,,118,
60,Thương,,,,Tai nghe,Nhét tai,,,,
61,Thương,,,,Tai nghe,Nhét tai,,,,
62,Thương,,,,Tai nghe,Nhét tai,,,,
63,Thương,,,,Tai nghe,Nhét tai,,,,
64,Thương,,,,Tai nghe,Nhét tai,,,,
65,Thương,,,,Tai nghe,Nhét tai,,,,
66,Thương,,,,Tai nghe,Nhét tai,,,,
67,Thương,,,,Tai nghe,Nhét tai,,,,
68,Thương,,,,Tai nghe,Nhét tai,,,,
69,Thương,,,,Tai nghe,Nhét tai,,,,
70,Thương,,,,Tai nghe,Nhét tai,,,,
71,Thương,,,,Tai nghe,Nhét tai,,,,
72,Thương,,,,Tai nghe,Nhét tai,,,,
73,Thương,,,,Tai nghe,Nhét tai,,,,
74,Thương,,,,Tai nghe,Nhét tai,,,,
75,Thương,,,,Tai nghe,Nhét tai,,,,
76,Thương,,,,Tai nghe,Nhét tai,,,,
77,Thương,,,,Tai nghe,Nhét tai,,,,
78,Thương,,,,Tai nghe,Nhét tai,,,,
79,Thương,,,,Tai nghe,Nhét tai,,,,
80,Thương,,,,Tai nghe,Nhét tai,,,,
81,SN-C510,Tai nghe Bluetooth Sony WF-C510,Sony,Nhét tai,Tai nghe,Nhét tai,"Tai nghe Bluetooth Sony WF-C510 cung cấp chất lượng âm thanh sôi động với bộ màng loa 6mm, cho phép bạn tận hưởng trọn vẹn mọi giai điệu yêu thích. Kèm theo đó là kết nối Bluetooth thế hệ mới, hỗ trợ quá trình ghép nối không dây ổn định, tiện lợi trong phạm vi rộng. Ngoài ra, thời lượng pin trên tai nghe Sony này còn đạt mức 22h, mang đến trải nghiệm âm nhạc liền mạch cả ngày dài mà không cần lo lắng về việc sạc pin.",,,
82,SN-H3,Tai nghe chụp tai Gaming Sony Inzone H3,Sony,Chụp tai,Tai nghe,Chụp tai,"Tai nghe chụp tai Gaming Sony Inzone H3 sở hữu màng loa 40mm, hỗ trợ công nghệ âm thanh 360 Spatial Sound nhằm tối ưu trải nghiệm định vị trong game. Tai nghe nặng khoảng 299g cùng dây kết nối dài, hỗ trợ tương thích với nhiều nền tảng khác nhau. Với micro tích hợp, thiết kế có thể gập lên xuống, âm thanh thu được cũng rõ ràng hơn.",,,
83,SN-CH720N,Tai nghe Sony WH-CH720N,Sony,Chụp tai,Tai nghe,Chụp tai,"Tai nghe Sony WH-CH720N được thiết kế theo dạng Over-ear hiện đại. Do được hoàn thiện từ chất liệu Composite sợi Carbon cao cấp, CH720N có độ bền bỉ và vô cùng chắc chắn trong quá trình sử dụng. Đồng thời, ưu điểm này cũng giúp phân khúc tai nghe mới này có trọng lượng khá nhẹ. Do đó, nó được quảng cáo là chiếc tai nghe chụp chống ồn chủ động nhẹ nhất hiện nay. Phần đệm tai và đầu của Sony WH-CH720N cũng khá êm ái. Tạo cảm giác nhẹ nhàng, thăng hoa trong từng giai điệu.
",,,
84,SN-C710N,Tai nghe không dây Sony WF-C710N,Sony,Nhét tai,Tai nghe,Nhét tai,"Tai nghe không dây Sony WF-C710N sở hữu bộ màng loa 5mm, có dải tần số phản hồi từ 20Hz đến 20000Hz, tích hợp công nghệ khử ồn và âm thanh xung quanh. Sản phẩm hỗ trợ Bluetooth 5.3, kháng nước IPX4, có thời lượng pin lên đến 12 giờ (khi tắt khử ồn). Sony WF-C710N có thiết kế công thái học, hộp sạc 38g.",,,
85,SN-LBF,Tai nghe không dây Sony LinkBuds Fit,Sony,Nhét tai,Tai nghe,Nhét tai,"Tai nghe không dây Sony LinkBuds Fit có thiết kế open-ear với trọng lượng chỉ 4.9g mỗi tai, hỗ trợ kết nối Bluetooth 5.3, khả năng chống nước IPX4. Tai nghe trang bị củ loa dạng vòng 8.4mm, tích hợp công nghệ DSEE, điều khiển âm lượng thích ứng. Thiết bị có thời lượng pin lên đến 21 giờ, kích thước nhỏ gọn 47.2 x 47.2 x 32.6mm.",,,
86,SN-INZ,Tai nghe không dây Sony INZONE Buds,Sony,Nhét tai,Tai nghe,Nhét tai,"Tai nghe không dây Sony INZONE Buds đem tới trải nghiệm âm thanh sống động với hàng loạt các công nghệ tiên tiến như chống ồn chủ động, 360 Spatial Sound. Bên cạnh đó, thế hệ tai nghe này còn sở hữu thời lượng pin lên đến 12 giờ cho tai nghe và 24 giờ khi sử dụng cùng hộp sạc, đem tới trải nghiệm nghe nhạc giải trí suốt ngày dài. Đặc biệt hơn, tai nghe còn đi kèm với khả năng kháng nước IPX4, mang lại sự thoải mái và linh hoạt cho người dùng ngay cả khi đang ở trong môi trường nước. ",,,
87,SN-INZ5,tai nghe chụp tai Sony INZONE H5,Sony,Chụp tai,Tai nghe,Chụp tai,"Với công nghệ 360 Spatial Sound, tai nghe chụp tai Sony INZONE H5 cho phép bạn nghe thấy hướng và khoảng cách đến đối thủ trong trò chơi. Tai nghe còn có một thời lượng pin lên đến 28 giờ, cho phép bạn chơi game suốt cả ngày mà không lo hết pin. Được thiết kế nhẹ nhàng với trọng lượng 260g, bạn có thể chơi game trong thời gian dài mà không cảm thấy mệt mỏi hay không thoải mái.",,,
88,SN-WH900N,Tai nghe chụp tai Sony WHULT900N,Sony,Chụp tai,Tai nghe,Chụp tai,"Tai nghe chụp tai Sony WHULT900N được trang bị công nghệ cảm biến tiếng ồn kép và chip xử lý V1 mang tới khả năng chống ồn hoàn hảo khi sử dụng. Điều khiển cảm ứng tiện ích, công nghệ bluetooth ấn tượng, micro và điều khiển linh hoạt cùng khả năng sử dụng tới 50 giờ sử dụng khi tắt chế độ chống ồn cho mỗi lần sạc.",,,
89,SN-XM4,tai nghe Sony WH-1000XM4,Sony,Chụp tai,Tai nghe,Chụp tai,Sony WH-1000XM4 được trang bị khả năng phân tích và điều khiển thời gian thực. Nhờ đó giúp tai nghe chụp tai WH-1000MX4 luôn phân tích các tiếng ồn xung quanh và điều chỉnh mức độ chống ồn nhằm mang lại cho người dùng âm thanh chất lượng tốt nhất.,,,
90,SN-H9II,Tai nghe gaming không dây Sony Inzone H9 II ,Sony,Chụp tai,Tai nghe,Chụp tai,"Tai nghe gaming không dây Sony Inzone H9 II nổi bật với công nghệ chống ồn chủ động, được trang bị màng loa 30mm kết hợp với micro boom khử ồn vượt trội. Sản phẩm có trọng lượng nhẹ chỉ 260g, trang bị kết nối không dây kép qua Bluetooth 5.3. Mẫu tai nghe Sony này có thời lượng pin lên đến 30 giờ, có thể đáp ứng trọn vẹn các phiên chơi kéo dài.",,,
91,AAP3,Apple Airpods 3 2022,Apple ,Airpods,Tai nghe,Nhét tai,Apple Airpods 3 2022 là mẫu tai nghe bluetooth mới nhất đến từ ông trùm công nghệ Apple. Tai nghe sở hữu thiết kế nhỏ gọn cùng rất nhiều công nghệ hiện đại tai nghe mang tới cho người dùng trải nghiệm âm thanh cực sống động. Dưới đây là điểm nổi bật trên Airpod 3 2022 mà bạn không nên bỏ qua.,,,
92,AAP3-MS,Tai nghe Apple AirPods 3 Magsafe,Apple ,Airpods,Tai nghe,Nhét tai,"Một trong những thế hệ tai nghe không dây được ưa chuộng nhất trên thị trường hiện nay là Apple AirPods 3 Magsafe. Tuy mới chỉ có được ra mắt giữa tháng 10 vừa qua nhưng AirPods 3 của Apple đã nhận được nhiều sự ưa chuộng từ phía người dùng và nhanh chóng trở nên phổ biến trên thị trường thời gian vừa rồi. Với thiết kế gọn nhẹ, bền bỉ cùng chất lượng âm thanh đỉnh cao, AirPods 3 chắc chắn là mẫu tai nghe Apple hoàn hảo mà bạn rất nên sở hữu.",,,
93,AAP4-ANC,Apple Airpods 4 ANC,Apple ,Airpods,Tai nghe,Nhét tai,"Apple AirPods 4 ANC sở hữu nhiều công nghệ âm thanh tiên tiến ấn tượng như công nghệ chống ồn chủ động thế hệ mới và âm thanh không gian. Tai nghe tích hợp driver chất lượng cao, cải thiện âm thanh phát ra được sống động và rõ ràng hơn. Với thiết kế in-ear thoải mái, AirPod 4 còn hỗ trợ sạc không dây Qi, hoặc có dây qua cổng sạc USB-C hiện đại. Thời lượng pin dài và sạc nhanh giúp đảm bảo tai nghe luôn sẵn sàng cho những trải nghiệm âm nhạc liền mạch.",,,
94,AAP4,Apple Airpods 4 ,Apple ,Airpods,Tai nghe,Nhét tai,AirPods 4 là tai nghe không dây Apple với chip H2 cùng EQ thích ứng và âm thanh không gian cá nhân hóa mang lại trải nghiệm âm thanh ấn tượng. Tai nghe được trang bị Micrô kép với cảm biến quang học cùng micro hướng vào trong giúp thu âm tốt hơn. Cùng với điều khiển chạm cho phép người dùng điều khiển qua các thao tác nhấn tiện lợi.,,,
95,APP2,Apple Airpods 2,Apple ,Airpods,Tai nghe,Nhét tai,"Apple Airpods 2 sở hữu chip H1 được dành riêng giúp chuyển nhanh các cuộc gọi từ iPhone sang Airpods cũng như giảm mức tiêu thụ điện năng cực kỳ thấp. Thời gian sử dụng đến 5 giờ nghe nhạc hoặc 3 giờ đàm thoại và khi kết hợp với hộp sạc cho thời gian đến 24 giờ. Kết nối không dây chất lượng cao, tự động bật và luôn kết nối giúp sẵn sàng theo bạn đến bất kỳ đâu. Cùng tham khảo thêm về chiếc Airpod 2 này nhé.",,,
96,APP2-PRO,Tai nghe Bluetooth Apple AirPods Pro 2 2023,Apple ,Airpods,Tai nghe,Nhét tai,"Airpods Pro 2 Type-C với công nghệ khử tiếng ồn chủ động mang lại khả năng khử ồn lên gấp 2 lần mang lại trải nghiệm nghe - gọi và trải nghiệm âm nhạc ấn tượng. Cùng với đó, điện thoại còn được trang bị công nghệ âm thanh không gian giúp trải nghiệm âm nhạc thêm phần sống động. Airpods Pro 2 Type-C với cổng sạc Type C tiện lợi cùng viên pin mang lại thời gian trải nghiệm lên đến 6 giờ tiện lợi.",,,
97,APP3-PRO,Tai nghe Bluetooth Apple AirPods Pro 3 2025 Type-C,Apple ,Airpods,Tai nghe,Nhét tai,"AirPods Pro 3 ra mắt tháng 9/2025, mang đến bước tiến lớn với khả năng khử tiếng ồn chủ động gấp đôi thế hệ trước, thiết kế gọn nhẹ và pin bền bỉ vượt trội. Apple tích hợp cảm biến đo nhịp tim trực tiếp trên tai nghe, biến AirPods Pro thế hệ thứ 3 thành trợ lý sức khỏe thông minh cho người dùng.",,,
98,APP-MAX2024,Tai nghe chụp tai chống ồn Apple AirPods Max 2024,Apple ,Chụp tai/ Airpods,Tai nghe,Chụp tai,Apple Airpods Max 2024 là sản phẩm tai nghe chụp tai được trang bị trình điều khiển động do Apple thiết kế. Cùng với tính năng khử ồn chủ động và âm thanh không gian cá nhân hóa giúp mang lại âm thanh chất lượng. Tai nghe còn sở hữu màu sắc đa dạng với 5 lựa chọn màu cùng với 9 micro đàm thoại chất lượng.,,,
99,APP-MAX2021,Tai nghe Apple AirPods Max 2021,Apple ,Chụp tai/ Airpods,Tai nghe,Chụp tai,"Apple AirPods Max 2021 sở hữu driver hiện đại, được thiết kế riêng bởi Apple, mang lại chất âm chi tiết và cân bằng giữa âm bass, âm trung và âm cao. Với chip H1 trên cả hai tai, thế hệ tai nghe AirPods này hỗ trợ Adaptive EQ và Spatial Audio, giúp tối ưu trải nghiệm âm thanh 3D. Hơn nữa, Active Noise Cancellation (ANC) của thiết bị còn giúp loại bỏ tiếng ồn hiệu quả, cho bạn cảm giác âm nhạc trọn vẹn nhất.",,,
100,MS-MN4,Tai nghe Bluetooth True Wireless Marshall Minor 4,Marshall,Nhét tai/ Minor ,Tai nghe,Nhét tai,Marshall Minor 4 là mẫu tai nghe không dây được trang bị viên pin cho thời gian sử dụng lên đến 30 giờ cùng chuẩn kháng nước IPX4 giúp tối ưu sử dụng. Tai nghe sở hữu thiết kế mang lại cho người dùng trải nghiệm dùng thoải mái. Tai nghe còn sở hữu công nghệ âm thanh giúp cho người dùng những trải nghiệm giải trí âm thanh sống động.,,,
101,MS-MN3,Tai nghe Bluetooth True Wireless Marshall Minor 3,Marshall,Nhét tai/ Minor ,Tai nghe,Nhét tai,"Tai nghe không dây Marshall Minor 3 sẽ là một trong những lựa chọn tuyệt vời không nên bỏ qua. Sở hữu chất lượng âm thanh tuyệt hảo, thiết kế sang trọng và khả năng kết nối không dây ổn định, thế hệ tai nghe Marshall này sẽ mang đến cho bạn nhiều trải nghiệm nghe nhạc chất lượng cao và cực kỳ thoải mái.",,,
102,MS-MJ5,Tai nghe Bluetooth chụp tai Marshall Major 5,Marshall,Chụp tai/ Major ,Tai nghe,Chụp tai,Marshall Major 5 (V) là mẫu tai nghe cao cấp của Marshall với tinh chỉnh âm thanh đặc trưng cùng với trình điều khiển động. Tai nghe mang lại trải nghiệm âm thanh đầy sống động với độ méo tiếng thấp cùng với viên pin cho thời lượng sử dụng ấn tượng. Tai nghe còn có thể kết nối với app Marshall Bluetooth.,,,
103,MS-MJ4,Tai nghe Bluetooth chụp tai Marshall Major 4,Marshall,Chụp tai/ Major ,Tai nghe,Chụp tai,"Marshall Major 4 được trang bị thiết kế không quá nhiều khác biệt với Major 3. Tai nghe được hoàn thiện từ chất liệu giả da, ở giữa chụp tai là logo Marshall. Earpad của tai mềm mại, nhờ đó người dùng có thể thoải mái sử dụng trong một thời gian dài. Tai nghe trùm đầu Marshall Major IV với nhiều thay đổi về công nghệ, nhờ đó viên pin khủng trên tai nghe có thể sử dụng lên đên 80 giờ.",,,
104,MS-MT,Tai nghe Bluetooth True Wireless Marshall Motif ANC,Marshall,Nhét tai,Tai nghe,Nhét tai,Marshall Motif ANC sở hữu một thiết kế nhỏ gọn kèm theo đó là mút tai ba kích thước giúp người dùng thoải mái hơn khi sử dụng tai nghe trong thời gian dài. Tai nghe được trang bị công nghệ chống nước IPX5 nhờ đó người dùng có thể sử dụng ngay cả khi tập luyện.,,,
105,MS-MT2,Tai nghe Bluetooth True Wireless Marshall Motif 2 ANC,Marshall,Nhét tai,Tai nghe,Nhét tai,"Tai nghe không dây Marshall Motif II ANC mang lại chất lượng âm thanh ấn tượng với chức năng chống ồn chủ động (ANC) mặc dù sở hữu kích thước nhỏ gọn. Với khả năng chơi nhạc liên tục trong 30 giờ, bạn có thể thưởng thức âm nhạc suốt cả ngày mà không cần lo lắng về việc sạc lại. Sản phẩm cũng được trang bị công nghệ Bluetooth 5.3 LE, đảm bảo kết nối ổn định và nhanh chóng.",,,
106,MS-MN2ANC,Tai nghe Bluetooth Chụp Tai Marshall Monitor 2 ANC,Marshall,Chụp tai/ Minor ,Tai nghe,Chụp tai,"Tai nghe bluetooth Marshall Monitor 2 ANC - khử tiếng ồn chủ động
Mới đây một thương hiệu nổi tiếng của Mỹ về âm thanh đã cho ra đời dòng tai nghe cao cấp với tên gọi tai nghe bluetooth Marshall Monitor 2 ANC. Tai nghe mang đến cho người dùng trải nghiệm chế độ không dây và chống ồn tự động đầy hiệu quả mang đến trải nghiệm cực kỳ thú vị.",,,
107,MS-MN3ANC,Tai nghe chụp tai chống ồn Marshall Monitor 3 ANC,Marshall,Chụp tai/ Minor ,Tai nghe,Chụp tai,"Tai nghe Marshall Monitor 3 (III) ANC sở hữu hệ thống dynamic driver kích thước 32mm kết hợp công suất lớn, cùng công nghệ ANC chủ động chống ồn. Bên cạnh chất lượng âm thanh tuyệt hảo, mẫu tai nghe chụp tai này còn cho phép hoạt động lên tới 70 giờ. Ngoài ra, thiết kế đậm nét cổ điển cùng chất liệu da bền cũng giúp phiên bản phù hợp với nhiều đối tượng.",,,
108,XM-RB6A,Tai nghe Bluetooth True Wireless Xiaomi Redmi Buds 6 Active,Xiaomi,Nhét tai/ Redmi Buds,Tai nghe,Nhét tai,"Tai nghe Xiaomi Redmi Buds 6 Active được trang bị trình điều khiển 14.2mm cùng 5 chế độ âm thanh để luôn mang tới chất âm trầm sâu và trải nghiệm nghe tuyệt vời cho người dùng. Mẫu tai nghe Xiaomi này còn có thời lượng hoạt động bền bỉ lên tới 30 giờ cùng khả năng sạc pin nhanh chóng. Với công nghệ Bluetooth 5.4 mới nhất, tốc độ kết nối và độ ổn định, độ trễ của Xiaomi Redmi Buds 6 Active sẽ còn được cải thiện.",,,
109,XM-RB6,Tai nghe không dây Xiaomi Redmi Buds 6,Xiaomi,Nhét tai/ Redmi Buds,Tai nghe,Nhét tai,"Tai nghe Xiaomi Redmi Buds 6 có trang bị trình điều khiển 12.4mm, pin tai nghe cho thời gian sử dụng đến 26 giờ khi tích hợp công nghệ ENC lọc tiếng ồn. Mẫu tai nghe Bluetooth này sử dụng chuẩn kết nối Bluetooth 5.4 với phạm vi 10m, hỗ trợ điều khiển cảm ứng chạm, sạc qua cổng Type-C. Hộp sạc có kích thước 61.01 x 51.71 x 24.80 mm, tai nghe 31.13 x 21.34 x 23.5 mm với khối lượng 4g.",,,
110,XM-RB6PRO,Tai nghe không dây Xiaomi Redmi Buds 6 Pro,Xiaomi,Nhét tai/ Redmi Buds,Tai nghe,Nhét tai,Tai nghe không dây Xiaomi Redmi Buds 6 Pro trang bị thiết kế dạng in-ear nhằm đảm bảo trải nghiệm đeo chắc chắn khi dùng trong các hoạt động thể chất. Mẫu tai nghe không dây này được trang bị 3 micro AI với khả năng lọc gió lên tới 12m/s. Tai nghe Redmi Buds 6 Pro mang đến thời lượng pin lên đến 9.5 giờ mỗi lần sử dụng và có tổng thời lượng nghe tối đa 36 giờ.,,,
111,XM-RB4LITE,Tai nghe Bluetooth True Wireless Redmi Buds 4 Lite,Xiaomi,Nhét tai/ Redmi Buds,Tai nghe,Nhét tai,"Redmi Buds 4 Lite là mẫu tai nghe Xiaomi mới phát triển và ra mắt quý I năm 2023. Tai nghe được trang bị trình điều khiển động kích thước 12mm giúp mang lại âm thanh chất lượng với âm trầm phong phú, âm cao rõ ràng cùng độ méo thấp. Redmi Buds 4 Lite khá nhỏ gọn với trọng lượng chỉ khoảng 3.92g cùng khả năng chống nước IP54 vượt trội. Redmi Buds 4 Lite cũng được trang bị viên pin cho thời gian sử dụng ấn tượng tới 20 giờ khi sử dụng kết hợp case sạc.

",,,
112,XM-OS,Tai nghe thể thao Xiaomi Openwear Stereo,Xiaomi,Kẹp tai,Tai nghe,Kẹp tai,"Tai nghe Xiaomi OpenWear Stereo sở hữu thiết kế mở open-ear thoải mái với trọng lượng siêu nhẹ mang đến cảm giác êm ái trên tai. Tai nghe được trang bị driver động 17x12mm cùng công nghệ Hi-Res Wireless, codec LHDC với tần số đến 96kHz cho âm thanh tuyệt hảo. Xiaomi OpenWear tích hợp micro kết hợp tính năng khử ồn AI cho đàm thoại tập trung hơn. Ngoài ra tai nghe Xiaomi này còn dễ dàng kết nối với hệ sinh thái Xiaomi HyperOS vô cùng tiện lợi.",,,
113,XM-OSPRO,Tai nghe Bluetooth thể thao Xiaomi OpenWear Stereo Pro,Xiaomi,Kẹp tai,Tai nghe,Kẹp tai,"Tai nghe thể thao Xiaomi Openwear Stereo Pro mang đến thời lượng sử dụng ấn tượng với 8.5 giờ nghe liên tục và lên đến 45 giờ khi dùng kèm hộp sạc. Mỗi tai nghe nặng 9.7g, trang bị chuẩn kết nối Bluetooth 5.4 và có thể kết nối tiện lợi qua app Xiaomi Earbuds. Sản phẩm có thiết kế open-ear phù hợp cho các hoạt động thể thao và vận động hàng ngày.",,,
114,XM-B5P,Tai nghe không dây Xiaomi Buds 5 Pro,Xiaomi,Nhét tai,Tai nghe,Nhét tai,Tai nghe không dây Xiaomi Buds 5 Pro thiết kế cực kỳ nhỏ gọn với dải tần siêu rộng 15–50kHz cùng công nghệ Qualcomm® aptX™ sẽ đảm bảo chất lượng âm thanh. Mẫu tai nghe Xiaomi có bộ điều khiển ba đồng trục khuếch đại kép cho trải nghiệm nghe chân thực. Tai nghe hỗ trợ khử tiếng ồn chủ động 55dB cùng thời lượng pin tới 40 giờ khi dùng chung với hộp sạc.,,,
115,XM-B5PWF,Tai nghe không dây Xiaomi Buds 5 Pro Wifi,Xiaomi,Nhét tai,Tai nghe,Nhét tai,"Tai nghe không dây Xiaomi Buds 5 Pro Wifi sử dụng kết nối Wi-Fi, cung cấp độ ổn định cao hơn, giúp tái hiện âm thanh Lossless với băng thông rộng. Với công nghệ chống ồn chủ động lên đến 55dB, thiết bị giúp loại bỏ hiệu quả tạp âm. Với thời lượng pin lên đến 40 giờ, sản phẩm tai nghe bluetooth này đáp ứng nhu cầu sử dụng dài lâu mà không cần sạc thường xuyên.",39,,
116,XM-B5,Tai nghe Bluetooth True Wireless Xiaomi Buds 5,Xiaomi,Nhét tai,Tai nghe,Nhét tai,"Tai nghe Xiaomi Buds 5 được trang bị Qualcomm aptX và âm thanh lossless, mic đàm thoại và khử tiếng ồn micro kép AI. Tai nghe đạt chuẩn kháng bụi, nước IP54, thời lượng pin tai nghe 6.5 giờ, hộp sạc 39 giờ và sử dụng cổng sạc USB-C. Tai nghe có kích thước nhỏ gọn, vỏ ngoài nhựa nhám mờ và hỗ trợ kết nối Bluetooth 5.4.",,,
117,XM-B3,Tai nghe Bluetooth True Wireless Xiaomi Buds 3,Xiaomi,Nhét tai,Tai nghe,Nhét tai,"Xiaomi Buds 3 là dòng tai nghe không dây vừa mới ra mắt đã nhận được cơn mưa lời khen từ giới công nghệ âm thanh. Tiếp nối từ chất lượng công nghệ từ thế hệ trước, Xiaomi đã đưa vào những cải tiến vượt trội dựa trên trải nghiệm của người dùng.",,,
118,XM-B3TPRO,Tai nghe Bluetooth True Wireless Xiaomi Buds 3T Pro,Xiaomi,Nhét tai,Tai nghe,Nhét tai,Tai nghe không dây Xiaomi Buds 3T Pro với công nghệ âm thanh tiên tiến kết hợp khử ồn chủ động thông minh và thời lượng pin dài lâu. Sản phẩm tai nghe không dây này là một trong những thiết bị mà Xiaomi mang đến cho các fan công nghệ toàn cầu.,,,
119,HW-FE,Tai nghe Bluetooth True Wireless HUAWEI FreeClip,Huawei,Kẹp tai,Tai nghe,Kẹp tai,"Huawei Freeclip là tai nghe không dây với thiết kế C-bridge ấn tượng cùng với Driver nam châm kép 10,8 mm mang lại trải nghiệm âm thanh vượt trội. Tai nghe có hai phiên bản màu là đen và tím cùng với đó là nhiều công nghệ âm thanh như âm thanh trực tiếp, âm thanh mở. Bên cạnh đó, sản phẩm tai nghe Huawei này còn sở hữu viên pin lớn mang lại tổng thời gian sử dụng lên đến 36 giờ cùng với đó là khả năng kháng nước và bụi bẩn chuẩn IP54.",,,
120,HW-7i,Tai nghe Bluetooth True Wireless Huawei Freebuds 7i,Huawei,Nhét tai,Tai nghe,Nhét tai,"Tai nghe Bluetooth True Wireless Huawei Freebuds 7i được trang bị driver động 11mm sử dụng 4 nam châm, kèm công nghệ ANC 3.0 và hiệu chỉnh âm thanh EQ. Bên cạnh đó, mẫu tai nghe này còn sở hữu thiết kế đạt chuẩn IP54. Ngoài ra, công nghệ kết nối Bluetooth 5.3 cũng hỗ trợ truyền tải mượt mà, ổn định.",,,
121,HW-6i,Tai nghe Bluetooth True Wireless Huawei Freebuds 6i,Huawei,Nhét tai,Tai nghe,Nhét tai,"Tai nghe Huawei Freebuds 6i có thiết kế nhỏ gọn, thời trang và chất âm bass sâu, âm trung rõ ràng, âm cao mượt mà. Tai nghe cũng được trang bị tính năng chống ồn chủ động 2.0, giúp loại bỏ tạp âm từ môi trường xung quanh. Về thời lượng pin, Freebuds 6i cho phép người dùng thưởng thức âm nhạc và cuộc gọi trong thời gian lên đến 7.5 giờ.",,,
122,HW-5i,Tai nghe Bluetooth True Wireless Huawei FreeBuds 5i,Huawei,Nhét tai,Tai nghe,Nhét tai,Sản phẩm Huawei Freebuds 5i được tập trung công nghệ chống ồn chủ động ở phân khúc giá phải chăng. Và đây cũng là thiết bị được kỳ vọng rất nhiều trong thời gian gần đây.,,,
123,HW-SE2,Tai nghe Bluetooth True Wireless Huawei FreeBuds SE 2,Huawei,Nhét tai,Tai nghe,Nhét tai,"Huawei FreeBuds SE 2 được tích hợp Huawei Smart Life, cho phép tùy chỉnh lệnh cảm ứng linh hoạt. Từ đó, giúp những bạn thường xuyên chạy bộ chuyển bài hát, trả lời cuộc gọi nhanh chóng.",,,
